Network|Station|Latitude|Longitude|Elevation|Sitename|StartTime|EndTime
ZE|1080|62.893312|-149.744463|413.1|1080|2019-02-14T00:00:00.000000Z|2019-03-20T23:50:05.152000Z
ZE|1081|62.899791|-149.733905|429.8|1081|2019-02-14T00:03:33.038000Z|2019-03-22T02:33:33.036000Z
ZE|1082|62.906329|-149.720894|399.9|1082|2019-02-14T00:14:32.594000Z|2019-03-20T17:14:32.592000Z
ZE|1083|62.91434|-149.711395|399.5|1083|2019-02-14T00:22:08.772000Z|2019-03-19T13:22:08.770000Z
ZE|1084|62.922236|-149.70127|407.6|1084|2019-02-14T00:32:02.930000Z|2019-03-21T19:32:02.928000Z
ZE|1085|62.930134|-149.693521|417.8|1085|2019-02-14T00:40:11.119998Z|2019-03-21T18:40:11.117998Z
ZE|1086|62.937043|-149.680109|450.5|1086|2019-02-14T00:52:11.190000Z|2019-03-20T14:22:11.188000Z
ZE|1087|62.945105|-149.6714|475.5|1087|2019-02-14T01:01:46.470000Z|2019-03-21T08:31:46.468000Z
ZE|1088|62.951994|-149.660158|497.1|1088|2019-02-14T01:14:32.543998Z|2019-03-21T21:14:32.541998Z
ZE|1089|62.957662|-149.644702|528.2|1089|2019-02-14T01:24:12.303998Z|2019-03-22T02:24:12.301998Z
ZE|1090|62.965412|-149.634415|552.4|1090|2019-02-14T01:34:00.737998Z|2019-03-21T12:04:00.735998Z
ZE|1091|62.974325|-149.630923|527.6|1091|2019-02-14T01:43:38.967998Z|2019-03-22T11:13:38.965998Z
ZE|1092|62.982956|-149.625538|555.1|1092|2019-02-14T01:58:08.650000Z|2019-03-20T21:58:08.648000Z
ZE|1093|62.991181|-149.622968|541.2|1093|2019-02-14T02:25:48.404000Z|2019-03-20T00:25:48.402000Z
ZE|1094|62.997211|-149.614837|570.4|1094|2019-02-14T21:33:56.436000Z|2019-03-25T23:03:56.434000Z
ZE|1095|63.00566|-149.600581|569.6|1095|2019-02-14T21:51:50.507998Z|2019-03-26T02:59:59.999998Z
ZE|1096|63.013165|-149.593341|574.4|1096|2019-02-14T01:34:02.930000Z|2019-03-20T21:34:02.928000Z
ZE|1097|63.022091|-149.589979|549.7|1097|2019-02-14T01:21:40.279999Z|2019-03-22T05:21:40.277998Z
ZE|1098|63.030947|-149.58575|537.7|1098|2019-02-14T01:15:32.065999Z|2019-03-21T06:45:32.063999Z
ZE|1099|63.039802|-149.585724|529.8|1099|2019-02-14T01:05:10.322000Z|2019-03-20T10:35:10.320000Z
ZE|1100|63.046762|-149.572765|489.0|1100|2019-02-14T00:57:32.961998Z|2019-03-21T02:57:32.959998Z
ZE|1101|63.05343|-149.561283|460.0|1101|2019-02-14T00:49:56.217998Z|2019-03-25T03:19:56.215998Z
ZE|1103|63.066529|-149.540574|480.3|1103|2019-02-14T01:50:30.230000Z|2019-03-20T16:20:30.228000Z
ZE|1104|63.076311|-149.530646|556.9|1104|2019-02-14T00:14:12.283998Z|2019-03-21T13:44:12.281998Z
ZE|1105|63.083653|-149.5226|566.4|1105|2019-02-14T00:06:30.701998Z|2019-03-24T20:06:30.699998Z
ZE|1106|63.09162|-149.511118|574.7|1106|2019-02-14T00:00:00.000000Z|2019-03-24T19:29:19.106000Z
ZE|1107|63.098773|-149.497958|572.0|1107|2019-02-14T00:00:00.000000Z|2019-03-21T08:53:28.126000Z
ZE|1108|63.106174|-149.489947|543.4|1108|2019-02-14T00:00:00.001998Z|2019-03-20T16:12:54.287998Z
ZE|1109|63.113714|-149.47979|542.1|1109|2019-02-14T00:00:00.001998Z|2019-03-21T07:04:52.587998Z
ZE|1110|63.120183|-149.466959|547.5|1110|2019-02-14T00:00:00.001998Z|2019-03-21T19:27:06.255998Z
ZE|1111|63.126716|-149.454887|532.0|1111|2019-02-14T00:00:00.000000Z|2019-03-21T16:18:36.922000Z
ZE|1112|63.135254|-149.444983|525.5|1112|2019-02-14T00:00:00.001998Z|2019-03-21T11:39:04.347998Z
ZE|1113|63.140711|-149.428868|534.4|1113|2019-02-14T00:00:00.001998Z|2019-03-22T01:32:30.639998Z
ZE|1114|63.147264|-149.421632|548.6|1114|2019-02-14T00:00:00.001998Z|2019-03-25T06:55:42.689998Z
ZE|1115|63.153783|-149.407226|558.8|1115|2019-02-14T00:00:00.001998Z|2019-03-24T23:49:21.893998Z
ZE|1116|63.160286|-149.396042|570.3|1116|2019-02-14T00:00:00.000000Z|2019-03-25T11:12:06.182000Z
ZE|1117|63.167518|-149.389575|625.6|1117|2019-02-14T00:00:00.000000Z|2019-03-21T12:03:42.546000Z
ZE|1118|63.176084|-149.379094|638.7|1118|2019-02-14T00:00:00.001998Z|2019-03-21T02:55:10.373998Z
ZE|1119|63.183987|-149.368847|633.4|1119|2019-02-14T00:00:00.000000Z|2019-03-20T21:19:10.136000Z
ZE|1120|63.191906|-149.357344|638.1|1120|2019-02-14T00:00:00.001998Z|2019-03-22T09:41:00.215998Z
ZE|1121|63.19838|-149.343893|636.4|1121|2019-02-14T00:00:00.001998Z|2019-03-21T21:01:13.199998Z
ZE|1122|63.204495|-149.330429|639.3|1122|2019-02-14T00:00:00.001998Z|2019-03-22T02:55:07.205998Z
ZE|1123|63.211315|-149.316267|638.3|1123|2019-02-14T00:00:00.001998Z|2019-03-22T00:43:46.215998Z
ZE|1124|63.21676|-149.300608|643.3|1124|2019-02-14T00:00:00.001998Z|2019-03-20T23:36:47.541998Z
ZE|1125|63.22294|-149.286523|655.9|1125|2019-02-14T00:00:00.001998Z|2019-03-21T05:59:00.255998Z
ZE|1126|63.230096|-149.274017|646.1|1126|2019-02-14T00:00:00.001999Z|2019-03-21T09:18:35.099999Z
ZE|1127|63.237204|-149.262613|654.4|1127|2019-02-14T00:00:00.001998Z|2019-03-21T09:07:58.363998Z
ZE|1128|63.243121|-149.250903|663.2|1128|2019-02-14T00:00:00.001998Z|2019-03-22T04:45:36.185998Z
ZE|1130|63.258694|-149.252025|684.5|1130|2019-02-14T00:00:00.000000Z|2019-03-20T13:35:00.230000Z
ZE|1131|63.265663|-149.24022|694.0|1131|2019-02-14T00:00:00.001998Z|2019-03-21T02:26:30.935998Z
ZE|1132|63.272654|-149.226181|700.2|1132|2019-02-14T00:00:00.001999Z|2019-03-21T07:39:31.053999Z
ZE|1133|63.280963|-149.216818|713.9|1133|2019-02-14T00:00:00.000000Z|2019-03-20T04:33:26.142000Z
