Equipment,Date,Flight_Number,Station,Closest_Approach_Timestamp,Meas_Speed,Meas_Distance,Meas_Closet_Approach_Time,Meas_Closest_Approach_Timestamp,Meas_Sound_Speed,Meas_Source_Frequency_Array,Variance,Data_Misfit_Value,
AT73,20190213,528271370,1178,1550087884.95631,152.4272025,4537.014262164170,110.644009126328,1550087884.88436,326.286828346501,[17.55487712 34.90017335 68.91641459 137.89789103 206.24752936 272.29734697],[1.40056228e+01 4.16538516e+02 1.41965592e-01 3.00577792e+01 1.69602282e-01 1.68290070e-01 1.30886904e-01 2.06438901e-01 3.66019757e-01 3.66183973e-01],0.1712462762416820,
AT73,20190213,528316932,1194,1550096085.67702,153.6396273,4571.939813712910,109.492237541815,1550096084.80658,318.429063571949,[17.52910559 35.04094846 69.92973487 105.89030785 139.94134154 210.03022427 279.2797584],[1.40426101e+01 4.17509447e+02 1.08002261e-01 2.91374996e+01 1.21361800e-01 1.70841864e-01 1.01215669e-01 2.08314394e-01 2.02131173e-01 3.37765488e-01 3.37099110e-01],0.1086786405344910,
AT73,20190213,528316932,1195,1550096081.62879,160.2979406,4684.832120739230,110.749206183587,1550096081.69919,330.288321976311,[17.34601785 34.20102562 52.04763673 69.37216817 85.3253146 102.62190028 138.48062099 207.23735617],[1.42308976e+01 4.15497830e+02 9.82629583e-02 2.93807624e+01 1.78011132e-01 1.67143967e-01 1.94520041e-01 1.22592269e-01 2.33936845e-01 2.32643391e-01 2.38218243e-01 3.66029547e-01],0.0899435575811454,
AT73,20190214,528480326,1160,1550171120.01265,133.1747409,3697.074493749070,110.337516870874,1550171119.47285,307.457589011729,[35.22507487 69.89564897 140.07746508 210.34647761],[1.45665025e+01 4.04266837e+02 1.23598666e-01 3.37154452e+01 1.92566610e-01 1.74107932e-01 3.30015436e-01 5.02063321e-01],0.1219965574254880,
AT73,20190214,528480326,1175,1550171213.93960,148.8324796,4256.408636293420,109.958012006652,1550171212.55584,333.415689394612,[35.05078657 51.84223559 68.99671239 86.40547829 137.71756383 206.52956822],[1.43297609e+01 4.09480507e+02 1.01637197e-01 3.21717074e+01 1.73810057e-01 1.88456256e-01 1.35487613e-01 2.21853890e-01 2.23419173e-01 3.85629180e-01],0.0784809201989584,
AT73,20190214,528480326,1178,1550171235.59828,132.4557764,3253.629846601580,108.563812322231,1550171232.82980,304.031373894038,[17.82312606 35.86912319 52.65440476 70.10078533 74.03288531 89.01217159 141.51056753 215.12255687 255.36500674 284.67096221],[1.56525983e+01 3.87305483e+02 8.02461156e-02 3.58500150e+01 1.28982040e-01 1.54951658e-01 1.56323633e-01 9.45650897e-02 1.34154082e-01 1.85339521e-01 1.61219219e-01 3.01913070e-01 2.82721831e-01 3.22849340e-01],0.3327464602537620,
AT73,20190214,528480326,1183,1550171268.91022,151.6247207,4400.444962182350,111.378191938762,1550171268.96777,336.013643160701,[16.82696511 33.95481887 51.47142415 68.45001478 85.74860303 137.22804529 205.00733943 273.80534761 287.06742247],[1.41985016e+01 4.11733756e+02 8.70580423e-02 3.15228017e+01 1.11792196e-01 1.33058678e-01 1.59427339e-01 1.17172726e-01 2.22618227e-01 2.05780443e-01 3.10710141e-01 3.55407998e-01 4.26203492e-01],0.1553902780160720,
AT73,20190214,528507632,1104,1550183296.80106,146.6910064,3694.509401161750,110.627820583363,1550183296.98152,318.262170123544,[70.23991677 140.05311308 210.57474905],[1.56761175e+01 3.93977781e+02 1.48793959e-01 3.46259306e+01 5.66707635e-01 1.09929146e+00 1.71881916e+00],0.0563323701592728,
AT73,20190215,528702258,1131,1550267871.07028,133.557192,3387.524503451840,111.838778253179,1550267872.03723,303.012054535662,[69.47967186 138.41222663],[1.54660406e+01 3.92048372e+02 1.40054886e-01 3.52423810e+01 2.19401550e-01 4.13769825e-01],0.0658790632061042,
AT73,20190215,528702258,1136,1550267838.79229,143.2067587,4107.316079090300,110.543502416760,1550267838.66306,313.842150864581,[68.82672146 137.12154922 206.2197976],[1.43362307e+01 4.10847012e+02 1.03590981e-01 3.15065009e+01 1.70919986e-01 3.36723330e-01 5.25956098e-01],0.0626954550377027,
